Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.43     0.00    52392     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_end()
  0.00      0.43     0.00    52392     0.00     0.00  Renderable& std::forward<Renderable&>(std::remove_reference<Renderable&>::type&)
  0.00      0.43     0.00    52392     0.00     0.00  std::bitset<64ull> std::operator&<64ull>(std::bitset<64ull> const&, std::bitset<64ull> const&)
  0.00      0.43     0.00    51920     0.00     0.00  vec2<float>::operator=(vec2<float> const&)
  0.00      0.43     0.00    30444     0.00     0.00  vec2<int>::vec2(int, int)
  0.00      0.43     0.00    27140     0.00     0.00  _drawQuadrants(SDL_Renderer*, short, short, short, short, int)
  0.00      0.43     0.00    26668     0.00     0.00  std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.43     0.00    26432     0.00     0.00  std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> >::operator!=(std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> > const&) const
  0.00      0.43     0.00    26432     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_begin()
  0.00      0.43     0.00    26196     0.00     0.00  SpatialData::SpatialData(SpatialData const&)
  0.00      0.43     0.00    26196     0.00     0.00  entityx::ComponentHandle<Renderable, entityx::EntityManager>::get()
  0.00      0.43     0.00    26196     0.00     0.00  entityx::ComponentHandle<Renderable, entityx::EntityManager>::operator*()
  0.00      0.43     0.00    26196     0.00     0.00  entityx::ComponentHandle<SpatialData, entityx::EntityManager>::operator*()
  0.00      0.43     0.00    26196     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >::deallocate(std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*, unsigned long long)
  0.00      0.43     0.00    26196     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >::destroy<std::pair<float const, entityx::Entity> >(std::pair<float const, entityx::Entity>*)
  0.00      0.43     0.00    26196     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >::allocate(unsigned long long, void const*)
  0.00      0.43     0.00    26196     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >::construct<std::pair<float const, entityx::Entity>, float, entityx::Entity&>(std::pair<float const, entityx::Entity>*, float&&, entityx::Entity&)
